"May 14, 2024 at 12:29AM",WHAT KIND OF RAPPIN' IS THIS?,JPEGMAFIA,2dvgoGTEjoPWou8KdL9h1g,https://open.spotify.com/track/2dvgoGTEjoPWou8KdL9h1g
"May 14, 2024 at 09:01PM",I LUv My CLiQuE LiKe KaNyE WeSt,XXXTENTACION,5jj6hYviQgGnN3uoJw3Oej,https://open.spotify.com/track/5jj6hYviQgGnN3uoJw3Oej
"May 14, 2024 at 09:04PM",Poison Ivy,Xavier Wulf,3QDfsYLuWNAmZ62QoCGoqH,https://open.spotify.com/track/3QDfsYLuWNAmZ62QoCGoqH
"May 14, 2024 at 09:09PM",Jesus (feat. Lil Gnar),Chief Keef,5mE1sporLTCltsZVRp27cA,https://open.spotify.com/track/5mE1sporLTCltsZVRp27cA
"May 14, 2024 at 09:17PM",Tony Montana Flow,Chief Keef,5FArNjfGgECpqKyWeY7UNW,https://open.spotify.com/track/5FArNjfGgECpqKyWeY7UNW
"May 14, 2024 at 09:27PM",Lucid,Molly Santana,2XUWjjT6JZ6VRf0P06nbE5,https://open.spotify.com/track/2XUWjjT6JZ6VRf0P06nbE5
"May 14, 2024 at 09:32PM",I Get It,Molly Santana,75gq7yQkInpUrrtDrNcVO4,https://open.spotify.com/track/75gq7yQkInpUrrtDrNcVO4
"May 15, 2024 at 02:24PM",payme,RADA,6rC7rDOKXaxs33kt1Gadgp,https://open.spotify.com/track/6rC7rDOKXaxs33kt1Gadgp
"May 15, 2024 at 02:27PM",sad robots don't cry,DESTROY BORING,6x2F4nkIWUUMk6srvRY18j,https://open.spotify.com/track/6x2F4nkIWUUMk6srvRY18j
"May 15, 2024 at 02:29PM",guessed right,mesq,63qgBzTjktiznQb8ce2zol,https://open.spotify.com/track/63qgBzTjktiznQb8ce2zol
"May 15, 2024 at 02:33PM","every female werewolf ever, listed alphabetically by crime",Soulwhirlingsomewhere,6mmUcvUeyMDKBgmapWdqua,https://open.spotify.com/track/6mmUcvUeyMDKBgmapWdqua
"May 15, 2024 at 02:40PM",is this really what you want?,SHEMYYY,4vTmXAihY7QGYJrl7pCRrQ,https://open.spotify.com/track/4vTmXAihY7QGYJrl7pCRrQ
